Arabic	Latin	ID	Note	修正・調整
أبو الفتح قصروه	Qaṣrūh	TMP-P-000759	出現: D02262(تغرى بردي من قصروه=購入由来名の主人・ustādh)。corpus独立立項なし	B49新規発行
محمود	Maḥmūd	TMP-P-000760	出現: D02751(حسين بن محمودの父)。ナサブ要素のみ・corpus独立立項なし	B49新規発行
إسماعيل بن علي بن محمد بن داود الزمزمي	Ismāʿīl b. ʿAlī b. Muḥammad b. Dāwūd al-Zamzamī	TMP-P-000761	出現: D02752(「الماضي جده」=祖父)。メッカのザムザミー家。父نابت=AIND-D10113・叔父حسن=D02649・兄弟إسماعيل من نابت=D01988。祖父本人のcorpus本伝は未特定	B49新規発行。Gemini流用の汚染番号TMP-P-000528(=ابن جماعة家のإسماعيل)を破棄
عمر العرابي	ʿUmar al-ʿUrābī	TMP-P-000762	出現: D02762(埋葬地の隣人「دفن بالمعلاة جوار الشيخ عمر العرابي」)。メッカの著名スーフィー。D02940(أحد أصحاب عمر العرابي)・D03085(خادم…عمر العرابي)・D04138(عبد القادر بن عبد الله بن عمر العرابي)にも頻出。本伝未特定=同定継続	B49新規発行
علي بن محمد بن غضنفر	ʿAlī b. Muḥammad b. Ghaḍanfar	TMP-P-000763	出現: D02763(父。「وهو ابن علي بن محمد بن غضنفر من الاشراف」)。corpus独立立項なし	B49新規発行
الصاحب سعد الدين إبراهيم بن بركة البشيري	al-Ṣāḥib Saʿd al-Dīn Ibrāhīm b. Baraka al-Bashīrī	TMP-P-000764	出現: D02771(「الماضي أبوه」=父)。称号الصاحب・ニスباالبشيريから財務官僚家系。corpus本伝未特定=受領時に名寄せ	B50新規発行
ابن النقاش	Ibn al-Naqqāsh	TMP-P-000765	出現: D02771(صاهر ابن النقاش=姻戚)。corpusのابن-部D12790/D11644に家系記載(أبو هريرة عبد الرحمن بن محمد بن علي بن عبد الواحد وابناه أبو أمامة وأبو اليسر محمد、ابن النقاش الموقت أحمد بن علي)があるが個体特定不能	B50新規発行。初版の重複relation(other+marriage alliance)を1件に統合
جار الله بن حمزة بن راجح	Jār Allāh b. Ḥamza b. Rājiḥ	TMP-P-000766	出現: D02774(父)。メッカのأبو نمى家。息子محمد بن جار الله=AIND-D07297は立項あり。本人本伝未特定	B50新規発行
أزدمر الازبكي	Azdamur al-Azbakī	TMP-P-000767	出現: D02776(「له ذكر في أزدمر الازبكي」=本項への言及を含む伝記の主)。⚠أزدمر الطويل=D01878・ازدمر نائب طرسوس=D01884 とは別実体。corpus本伝未特定	B50新規発行
الشرف بن البقري	al-Sharaf b. al-Baqarī	TMP-P-000768	出現: D02779(ابن عم=イトコ)。البقري家(書記官家系)。corpus本伝未特定	B50新規発行
المجد بن البقري	al-Majd b. al-Baqarī	TMP-P-000769	出現: D02779(ابن عم=イトコ)。corpusのابن-部に転送見出し「عبد الله بن فتح الدين مجد الدين أحد الكتبة ويعرف بابن البقري」あり(息子أبو النجا=AIND-D07804)。本伝未特定	B50新規発行
عبد الرزاق بن حمزة بن عبد الغني	ʿAbd al-Razzāq b. Ḥamza b. ʿAbd al-Ghanī	TMP-P-000770	出現: D02780(「والد عبد الرزاق الآتي」=息子)。ابن فخيرة家。⚠corpus唯一の候補AIND-D03899(عبد الرزاق بن حمزة الزين أبو الصفا الطرابلسي ثم القاهري الحنفي)はニスバ・学派不一致=同定不能	B50新規発行。要判断§D-2
عثمان قرا يلوك بن طر علي قطلوبك	ʿUthmān Qarā Yulūk b. Ṭur ʿAlī Qaṭlūbak	TMP-P-000771	出現: D02781(父)。アク・コユンル君主Qarā Yülük ʿUthmān。息子حسن=AIND-D02615・孫جهانكير=AIND-D02451に言及あるが本人のcorpus本伝なし	B50新規発行
علي (والد حمزة البهستاوي)	ʿAlī	TMP-P-000772	出現: D02784(حمزة بن عليの父)。ナサブ要素のみ・corpus独立立項なし	B50新規発行。Gemini流用の汚染番号TMP-P-000530(=AIND-D04287の兄弟علي・precheck watchlist)を破棄
الجمال يوسف البيري الاستادار	al-Jamāl Yūsuf al-Bīrī al-Ustādār	TMP-P-000773	出現: D02791(خال=母方のオジ)。AIND-D09968に「الشهاب أحمد بن الجمال يوسف البيري الأستادار」として言及。本伝未特定	B50新規発行
أحمد (أخو حمزة ابن أخت الجمال البيري)	Aḥmad	TMP-P-000774	出現: D02791(「أخو أحمد الماضي」=兄弟)。corpus本伝未特定	B50新規発行
ابنة السيد علي بن حسن بن عجلان	Ibnat al-Sayyid ʿAlī b. Ḥasan b. ʿAjlān	TMP-P-000775	出現: D02795(妻。「على بعض بناته」=名不詳)。父=AIND-D05111。女性。B45のTMP-P-000733と同型	B50新規発行
محمد بن خليل بن عيسى القدسي	Muḥammad b. Khalīl b. ʿĪsā al-Qudsī	TMP-P-000776	出現: D02910(「والد محمد الآتي」=息子、かつ父から学んだ弟子)。corpus本伝未特定	B51新規発行。Gemini再流用の汚染番号TMP-P-000529(=ابن جماعة家のمحمد、B44-48で破棄済)を破棄
موفق الدين العجمي	Muwaffaq al-Dīn al-ʿAjamī	TMP-P-000777	出現: D02910(801年にエルサレム・カーディー職を継承した後任)。corpus本伝未特定	B51新規発行
الشرف خادم السميساطية	al-Sharaf khādim al-Sumaysāṭiyya	TMP-P-000778	出現: D02919(師。「جمع السبع على الشرف خادم السميساطية」)。ダマスクスのスマイサーティーヤ(TMP-I-00020)の خادم。corpus本伝未特定	B51新規発行
