Arabic	Latin	ID	Note	修正・調整
أبو الفتوح الطاووسي	Abū al-Futūḥ al-Ṭāwūsī	TMP-P-000720	出現: D02705・D02707(استجازه=イジャーザを求めた側)。ペルシアの学者・サハーウィーの主要情報源(「لقيه الطاووسي」、827年シーラーズ訪問)。L23765(أبي الفتوح الطاوسي)・L50407ほか頻出。本伝はcorpus未特定。nisbah=TMP-N-00266	B40新規発行。nisbah番号TMP-N-00266のperson位置流用(D02705/D02707)を解消
كمال الدين محمد بن البدر حسين العنبري	Kamāl al-Dīn Muḥammad b. al-Badr Ḥusayn al-ʿAnbarī	TMP-P-000721	出現: D02698(息子。「والد كمال الدين محمد」=見出しの識別要素)。本伝なし	B40新規発行
محمد بن عبد الحفيظ الزبيدي	Muḥammad b. ʿAbd al-Ḥafīẓ al-Zabīdī	TMP-P-000722	出現: D03514(息子、897年の書面イジャーザ対象)。本伝なし	B42新規発行。P-000529(ابن جماعة家のمحمد)流用を解消
الشمس محمد ابن الاستادار	al-Shams Muḥammad Ibn al-Ustādār	TMP-P-000723	出現: D03493(父。「الشهير أبوه بابن الاستادار」、895年に息子を亡くし存命)。本伝はcorpus未特定	B42新規発行
الشهاب بن تقي	al-Shihāb b. Taqī	TMP-P-000724	出現: D03527(تفقه به=弟子)。L14287(良師としての言及)・L18822(القاياتيと並記=カイロ)にも登場。要同定(ابن تقي諸家: الكازروني/البلقيني等と混同注意)	B42新規発行
الزين بن الأدمي	al-Zayn b. al-Adamī	TMP-P-000725	出現: D03527(عرض عليه=暗誦提示の弟子。「عبد الحميد بن عبد الله المالكي」名義のعرض記録で確認)。الأدمي家(D03494/D05622/الصدر بن الأدمي)関連。要同定	B42新規発行
الكمال أبو الفضل المراغي	al-Kamāl Abū al-Faḍl al-Marāghī	TMP-P-000726	出現: D03515(父)。マディーナのالمراغي家、الزين أبو بكر(第2世)の息子・أبو الفرج محمد(D10690の息子)の孫。本伝なし(クンヤ部L120942に「أبو بكر بن محمد بن أبي الفرج المراغي」の$$$転送あり=家系整理の手掛かり)	B42新規発行。初版のD10690(曾々祖父=الزين الأول)への世代違い流用を解消
الشمس محمد بن ناصر الدين محمد الجعفري	al-Shams Muḥammad b. Nāṣir al-Dīn Muḥammad al-Jaʿfarī	TMP-P-000727	出現: D03533(父。祖父ناصر الدين محمد=الموقع)。本伝なし	B43新規発行。P-000063(D0031の兄弟のالشمس محمد)流用を解消
عباس المغربي	ʿAbbās al-Maghribī	TMP-P-000728	出現: D03557(فقه師)。L26074(「تردد إليه عباس المغربي والخطيب الوزيري」)にも言及。本伝なし	B43新規発行
نظر البيمارستان	Naẓar al-Bīmāristān	TMP-O-00148	出現: D02706(نائب ناظر البيمارستان=兄المحب محمد D07940の代理)。カイロ・マンスーリー病院(TMP-I-00034)の監督職。نظر الجيش(O-00045)等と同型	B40新規発行
مكبر	Mukabbir	TMP-O-00149	出現: D03373(マッカのمؤذن兼مكبر=復唱者)。مؤذن=wd:Q239718と併用	B41新規発行
صاحب حصن حب	Ṣāḥib Ḥiṣn Ḥubb	TMP-O-00150	出現: D03503(イエメンのハッブ砦領主位)。O-00145(صاحب حصن كيفا)と同型	B42新規発行
صاحب فاس	Ṣāḥib Fās	TMP-O-00151	出現: D03522(マリーン朝スルターン عبد الحق、صاحب فاس وما والاها من المغرب)。O-00137(صاحب شماخي)等と同型	B42新規発行
صاحب اللفج	Ṣāḥib al-Lafj	TMP-O-00152	出現: D03547(اللفج=TMP-L-00187の領主)。اللفجは未詳地・لحج異綴か不明(Waka裁定2026-08-11: 不明の旨note記載の上で付与=確定)	B43新規発行
خادم قبة العباس	Khādim Qubbat al-ʿAbbās	TMP-O-00153	出現: D03490(バキーウのアッバース廟=TMP-I-00088の奉仕者)。O-00049(أحد الخدام بالحجرة النبوية)と同型の特定廟職	B42新規発行
حبس الديلم | سجن الديلم	Ḥabs al-Daylam | Sijn al-Daylam	TMP-I-00085	出現: D02669(死没地)。カイロの監獄。L67159(وأودعه سجن الديلم)・L67501にも言及。placeName位置での使用可(تربة/زاوية先例)	B39新規発行
رباط السيد حسن بن عجلان	Ribāṭ al-Sayyid Ḥasan b. ʿAjlān	TMP-I-00086	出現: D02682(تنزل به)。マッカのリバート(創設者=シャリーフ حسن بن عجلان=AIND-D02560)。L51453(مشيخة رباط...)・L97687(شيخ الرباط)・L123972にも言及=機関として頻出	B39新規発行
دار الحديث الأشرفية	Dār al-Ḥadīth al-Ashrafiyya	TMP-I-00087	出現: D02704(名義上のتدريس)。ダマスクスの著名ハディース学院(アシュラフィーヤ)。⚠カイロのالأشرفية برسباي(Q23975569)/قايتباي(Q3306083)と別項・汎用دار الحديث(I-00033)とも区別	B40新規発行
قبة العباس	Qubbat al-ʿAbbās	TMP-I-00088	出現: D03490(خادم=O-00153)。マディーナ・バキーウ墓地のアッバース(預言者の叔父)廟	B42新規発行
