熊倉	Person	أبو العباس الجزري	Abū al-ʿAbbās al-Jazarī	TMP-P-000848	出現: D03665(سمع على=師)。8世紀後半ダマスカスの伝承者。al-Ḍawʾに立項なし。⚠ابن الجزري(الشمس محمد=Q4120093/TMP-P-000069)とは別人。	
熊倉	Person	محمد بن إسماعيل بن عمر الحموي	Muḥammad b. Ismāʿīl b. ʿUmar al-Ḥamawī	TMP-P-000849	出現: D03665(سمع على=師)。al-Ḍawʾに立項なし。	
熊倉	Person	ابن أبي التائب	Ibn Abī al-Tāʾib	TMP-P-000850	出現: D03768(سمع على=師)。ダマスカスのシャイフ。D00716/D03551/D04137/D05168等でも師として頻出だが立項なし。	
熊倉	Person	الزين عبد الغالب بن محمد الماكسيني	al-Zayn ʿAbd al-Ghālib b. Muḥammad al-Māksīnī	TMP-P-000851	出現: D03768(سمع مشيخته=師)。『مشيخة』の主。立項なし。	
熊倉	Person	الجلال السمنودي الميقاتي	al-Jalāl al-Samannūdī al-Mīqātī	TMP-P-000852	出現: D03713(أخذ عنه=弟子)。サハーウィーの「صاحبنا」かつ伝主の「بلديه」(同郷)。立項なし。⚠初版はこれをfriend relationとstudent relationに二重生成していた。	
熊倉	Person	أحمد مفتي مور	Aḥmad Muftī Mawr	TMP-P-000853	出現: D03766(تفقه به=師)。イエメン・مورのムフティー。立項なし。	
熊倉	Person	شعيب بن السواق	Shuʿayb b. al-Sawwāq	TMP-P-000854	出現: D03833(قارئ الجوقの後任)。立項なし。	
熊倉	Nisbah	المحمود أبادي	al-Maḥmūdābādī	TMP-N-05502	出現: D03678(عبد الرحمن بن عثمان بن أمير الشرواني الأصل المحمود أبادي ثم الرومي)。マフムーダーバード(シルワーン地方)出自。	
熊倉	Nisbah	السفط رشيدي	al-Safṭrashīdī	TMP-N-05503	出現: D03679。地名 سفط رشيد (TMP-L-00220) 由来。	
熊倉	Nisbah	الحجار	al-Ḥajjār	TMP-N-05504	出現: D03749(عبد الرحمن بن محمد بن حمزة المدني الحجار)。D03760(ويعرف بابن الحجار)も同家系か。⚠初版は Person ID の TMP-P-000275(8世紀のمسند الحجار)を persName/nisbah 位置に流用していた。別実体。	
熊倉	Nisbah	البكتمري	al-Baktamarī	TMP-N-05505	出現: D03807。	
熊倉	Location	سفط رشيد	Safaṭ Rashīd	TMP-L-00220	出現: D03679(生地)。エジプト・ガルビーヤ地方の村。ニスバ TMP-N-05503 の由来地。	
熊倉	Location	القرافة الصغرى	al-Qarāfa al-Ṣughrā	TMP-L-00221	出現: D03679(خانقاه قوصون の所在)。⚠ID-Master既存の Q2066414(القرافة) は総称で別粒度。	
熊倉	Location	مقابر الناشريين	Maqābir al-Nāshiriyyīn	TMP-L-00222	出現: D03712(埋葬地「مقابر الناشريين بزبيد」)。ザビード(TMP-L-00041)内のナーシリー家墓地。	
熊倉	Location	خيف بني شديد	Khayf Banī Shadīd	TMP-L-00223	出現: D03779(没地)。メッカ近郊。	
熊倉	Institution	خانقاه قوصون	Khānqāh Qūṣūn	TMP-I-00113	出現: D03679(所属スーフィー施設)。カイロ・القرافة الصغرى(TMP-L-00221)所在。	
熊倉	Institution	الأبوبكرية	al-Abūbakriyya	TMP-I-00114	出現: D03675(تدريس)。D00143/D08368/D08388にも出現。カイロのマドラサ。	
熊倉	Institution	الأيتمشية	al-Aytamishiyya	TMP-I-00115	出現: D03675(تدريس)。D00954/D03692/D06005にも出現。カイロのマドラサ(أيتمش البجاسي=D02089に由来)。	
熊倉	Institution	الجامع المصري	al-Jāmiʿ al-Miṣrī	TMP-I-00116	出現: D03811(勤務)。	
熊倉	Institution	رباط بعلجد	Ribāṭ Baʿaljad	TMP-I-00117	出現: D03844(خادم)。	
熊倉	Institution	المدرسة الفارسية	al-Madrasa al-Fārisiyya	TMP-I-00118	出現: D03841(居住)。	
熊倉	Institution	مسجد ابن قسيم	Masjid Ibn Qasīm	TMP-I-00119	出現: D03792。⚠初版の Latn 転写は「Ibn Qayyim」だが兄弟項 D09115 の綴りは「ابن قسيم」。誤結合防止のため قسيم を採用。	
熊倉	Institution	الحرم النبوي	al-Ḥaram al-Nabawī	TMP-I-00120	出現: D03873(مهندس الحرم の対象)。マディーナの預言者モスク。⚠メッカの المسجد الحرام は wd:Q428858。	
熊倉	Office	ترجمان	turjumān	TMP-O-00198	出現: D03681(عبد الرحمن بن عثمان جمال الدين السكندري الترجمان التاجر)。通訳官。	
熊倉	Office	نوبة في القلعة	nawba fī al-qalʿa	TMP-O-00199	出現: D03833。カイロ城塞(TMP-L-00006)での勤番。★要判断§D-8(職として登録すべきか)。	
熊倉	Office	خادم الرباط	khādim al-ribāṭ	TMP-O-00200	出現: D03844(رباط بعلجد)。	
