Arabic	Latin	ID	Note	修正・調整
أبو جمال الدين المغربي	Abū Jamāl al-Dīn al-Maghribī	TMP-P-000730	出現: D02136(مولى أبي جمال الدين المغربي=主人patron+クルアーン・書体の師)。بدر الحبشيの最初の所有者。corpus独立立項なし	B44新規発行
غانم الخشبي	Ghānim al-Khashabī	TMP-P-000731	出現: D03593(قرأ الموطأ لأمامه على غانم الخشبي=師)。マディーナのハシャビー家(D05567同族)。D06625にも師として言及。独立立項なし。※「علي غانم」を一人名と読むGemini誤読を是正した上での発行	B44新規発行
الجلال الخجندي	al-Jalāl al-Khujandī	TMP-P-000732	出現: D03593(تزوج ابنة الجلال الخجندي=岳父)。العلامة جلال الدين أحمد الخجندي المدني الحنفي(D00045・D08421の祖先表記、マディーナのハナフィー派学頭)。本人立項なし。娘(名不詳)は先にأبو الفتح المراغي(P-000003)に嫁した	B44新規発行
ابنة الزين رضوان	Ibnat al-Zayn Riḍwān	TMP-P-000733	出現: D02746(أجاز له=イジャーザ授与者)。الزين رضوان العقبي(AIND-D03005)の娘・名不詳。女性	B45新規発行
ابن أخي الفخر عثمان المقسي	Ibn akhī al-Fakhr ʿUthmān al-Maqsī	TMP-P-000734	出現: D03604(فقرأ عليه=弟子、889年カイロ)。الفخر عثمان المقسي(TMP-P-000450)の甥・名不詳	B46新規発行
عمر النجار الحموي	ʿUmar al-Najjār al-Ḥamawī	TMP-P-000735	出現: D03634(جود على=美誦の師)。D04446にも同役で出現。マディーナ圏のクルアーン師。独立立項なし	B46新規発行
الشمس الشامي	al-Shams al-Shāmī	TMP-P-000736	出現: D03769(سمع بالقاهرة على=師)。810年代カイロのムスニド(ابن الكويك・الزراتيتيと同世代の授与者としてD07639「ثلاثيات مسند أحمد」・D04243等に頻出)。本伝未特定=同定継続	B46新規発行
ابن طولوبغا	Ibn Ṭūlūbughā	TMP-P-000737	出現: D03646(سمع بمكة على=師)。أسد الدين أبو الفرج بن طولوبغا(L14925)。810-20年代マッカ滞在の伝承者。独立立項なし	B46新規発行
عبد القادر الأرموي	ʿAbd al-Qādir al-Urmawī	TMP-P-000738	出現: D03646(أجاز له)。الصلاح عبد القادر بن إبراهيم الأرموي(L14920)。810年代のイジャーザ授与者として頻出(L15347/L16586等)。独立立項なし	B46新規発行
أبو عبد الله محمد المغربي	Abū ʿAbd Allāh Muḥammad al-Maghribī	TMP-P-000739	出現: D04088(لقيه بالمدينة سنة 808 فسمع عليه=師)。本項のみ出現・独立立項なし	B46新規発行
محمد العطار	Muḥammad al-ʿAṭṭār	TMP-P-000740	出現: D03832(أخذ عن=師)。「خاتمة أصحاب يوسف العجمي」(D09613にザーウィヤ=النحراريةの師として言及)。独立立項なし	B46新規発行
البدر بن التنسي	al-Badr b. al-Tansī	TMP-P-000741	出現: D03834(ジャマーリーヤ教授職の後任)。マーリキー派大法官البدر محمد بن أحمد بن التنسي(D04336「قاضي المالكية」・D05386「البدر محمد بن أحمد」)。一族は立項あるが本人の見出し未検出	B46新規発行
أبو بكر الموصلي	Abū Bakr al-Mawṣilī	TMP-P-000742	出現: D04088(祖父=الشيخ القدوة الكبير)。著名スーフィー(没797=9世紀前ゆえ立項なし)。D10447「صحب أبا بكر الموصلي」等に頻出	B46新規発行
عبد الكريم باني المدرسة بباب قنسرين	ʿAbd al-Karīm bānī al-madrasa bi-Bāb Qinnasrīn	TMP-P-000743	出現: D03916(صاهره على ابنته=岳父)。ハラブのバーブ・キンナスリーンのマドラサ建立者。独立立項なし	B46新規発行
أحمد بن عبد القادر بن الرسام	Aḥmad b. ʿAbd al-Qādir b. al-Rassām	TMP-P-000744	出現: D04097(الآتي ابنه أحمد=息子)。「الآتي」とあるが見出し未特定(欠番帯の可能性)=本伝特定時に名寄せ	B46新規発行
عظيمات	ʿAẓīmāt	TMP-P-000745	出現: D04163(أحضر على=師)。إبراهيم عظيمات(L64905「الشمس التدمري وإبراهيم عظيمات」・L31559)。パレスチナ圏の伝承者。独立立項なし	B46新規発行
إسماعيل بن علي	Ismāʿīl b. ʿAlī	TMP-P-000746	出現: D04159(عم إسماعيل بن علي الماضي=甥)。「الماضي」とあるが対応見出し未特定=本伝特定時に名寄せ	B46新規発行
فرح بن بردبك السيفي	Faraḥ b. Bardbak al-Sayfī	TMP-P-000747	出現: D02152(وهو والد فرح=息子)。独立立項なし	B47新規発行
شاذبك من صديق	Shādhbak min Ṣadīq	TMP-P-000748	出現: D02158(واستقر في امرته ابنه=息子・アミール職後継)。L68213「شاذبك من صديق الأشرفي برسباي」にも出現。独立立項なし。※「ابنه」でありながら購入由来名を帯びる点は原文どおり	B47新規発行。§D-6裁定(2026-08-16)で実子・son relation維持確定
قانصوه الطويل الاشرفي برسباي	Qānṣūh al-Ṭawīl al-Ashrafī Barsbāy	TMP-P-000749	出現: D02158(シャーディーヤ職の後任)。D06284/D06285の同名قانصوه الأشرفي برسباي両項とも通称不一致=別人。独立立項なし	B47新規発行
إينال الكمالي الناصري	Īnāl al-Kamālī al-Nāṣirī	TMP-P-000750	出現: D02173(十人長アミール職の前任者・没後継承)。本項のみ出現・独立立項なし	B47新規発行
الشيخ حسين بن حسن الفتحي	al-Shaykh Ḥusayn b. Ḥasan al-Fatḥī	TMP-P-000751	出現: D02182(父)。マッカのファトヒー家家長(一族項D11894・D05950)。本人の見出し未特定	B48新規発行。§D-1裁定でD02182はREF化→本番号は取消せずD10610(本伝)受領時の父relationに予約
محمد بن حسين بن حسن الفتحي	Muḥammad b. Ḥusayn b. Ḥasan al-Fatḥī	TMP-P-000752	出現: D02182(شقيق محمد=長兄)。D05950(息子عمر)の父。本伝未特定=特定時に名寄せ。※Gemini流用の汚染番号TMP-P-000529(=ابن جماعة家のمحمد)を破棄	B48新規発行。§D-1裁定でD02182はREF化→本番号は取消せずD10610(本伝)受領時のbrother relationに予約
ابن عبد العزيز العزيزي المدني	Ibn ʿAbd al-ʿAzīz al-ʿAzīzī al-Madanī	TMP-P-000753	出現: D02187(سبط ابن عبد العزيز=母方祖父)。マディーナの公証人一族(D07658同族)。個体特定不能	B48新規発行
الشمس محمد بن حسن الشاذلي	al-Shams Muḥammad b. Ḥasan al-Shādhilī	TMP-P-000754	出現: D02188(祖父)。D09867・D08751がともに「الماضي أبوه」と参照し、D12896にも言及があるが見出し未特定(ID_missing帯の可能性)	B48新規発行
المؤيد أحمد بن الأشرف إينال	al-Muʾayyad Aḥmad b. al-Ashraf Īnāl	TMP-P-000755	出現: D02233(تكلم على جهات أستاذه وولده المؤيد)。短期スルターン(在865)。L77890「شقيق المؤيد أحمد الماضي」等の言及ありながら本伝未特定。※Gemini付与のwd:Q11482811は実item照合不可=破棄	B48新規発行
نانق الاشرفي إينال	Nānaq al-Ashrafī Īnāl	TMP-P-000756	出現: D02233(十人長アミール職の前任者)。L30980のنانق المحمديは別人。独立立項なし	B48新規発行
