熊倉	Institution	الجانبكية | المدرسة الجانبكية	al-Jānibakiyya	TMP-I-00163	出現: D04482（「قرأ على الأمين الأقصرائي بالجانبكية」833H）。カイロのジャーニバキーヤ学院（ハナフィー派、D06475 に「سعد الدين محمد شيخ الجانبكية」）。ID-Master 未登録（Nisbah الجانبكي=TMP-N-02464 のみ）。初版は placeName ref='#TMP-I-00000'（零番号）＋ affiliation #NEEDID。	
熊倉	Institution	سبيل المؤيد بالمسجد الحرام تجاه الحجر الأسود | السبيل الذي أنشأه المؤيد بالمسجد تجاه الحجر الأسود	Sabīl al-Muʾayyad bi-l-Masjid al-Ḥarām tujāha al-Ḥajar al-Aswad	TMP-I-00164	出現: D07337（「وباسمه … السبيل الذي أنشأه المؤيد بالمسجد تجاه الحجر الأسود」）。スルターン・アル＝ムアイヤド・シャイフ（#AIND-D03345）がマッカ聖モスク内の黒石正面に設けた給水所。既登録の سبيل 系（TMP-I-00111 カイロ／TMP-I-00122 マッカ السويقة）とは別実体。state の職ID は既存 خادم السبيل=TMP-O-00184 を cert medium で充当（ISSUES §Db-6）。	
熊倉	Institution	الجردكية | المدرسة الجردكية (حلب)	al-Jardakiyya	TMP-I-00165	出現: D07357（「مدرسا بالجردكية」）・D08746（子「استقر بعد أبيه في تدريس الجردكية」）。ハラブのマドラサ。ID-Master 未登録	
熊倉	Location	شنين	Shanīn	TMP-L-00274	出現: D04469（没地・居住地「مات بالطاعون … ببلده شنين」）。イエメンの町（ニスバ الشنيني=TMP-N-01802 の由来地。D00045 に「الشنيني بفتح المعجمة وكسر النونين بينهما تحتانية」の読み注記）。ID-Master 未登録。初版 #NEEDID を解消。 【2026-09-24 Waka 裁定】イエメン・イッブ県ムハーディル郡（المخادر، إب）の شنين。GeoNames に裸形の単独項目は無く、同郡に شنين القبة (gn:7360192)・شنين النوبة (gn:7360193) の2件（同一の歴史的村落の分村か）。gn は付さない。	
熊倉	Location	بين القصرين	Bayn al-Qaṣrayn	TMP-L-00275	出現: D07313（埋葬地「دفن بالبرقوقية بين القصرين」）。カイロ・ムイッズ通りの両宮殿間地区。corpus に12回出現（D13081「بمدرسة الظاهر برقوق بين القصرين」等）し再利用見込み。ID-Master 未登録（البرقوقية=TMP-I-00029 は同地区内の施設で別実体）。	
熊倉	Location	المرقب	al-Marqab	TMP-L-00276	出現: D07382（「ولاه الأشرف برسباي نيابة المرقب … فدام بالمرقب مدة」）。シリア沿岸の要塞都市マルカブ（Margat、طرابلس 管区）。ID-Master 未登録（ニスバ المرقبي=TMP-N-01489 のみ）。geonames 照合は Waka 側。	
熊倉	Nisbah	الدقاق	al-Daqqāq	TMP-N-05514	出現: D07350（محمد بن حسن بن عبد الرحيم الصالي الدقاق）。職業ニスバ（製粉業）。ID-Master 未登録	
熊倉	Office	شيخ أبشية الملق	shaykh Abshiyyat al-Malaq	TMP-O-00270	出現: D04485（「شيخ أبشية الملق من الغربية」＝ガルビーヤ県の村の村長）。repo 先例 شيخ بلقس(TMP-O-00257)・شيخ نابلس(TMP-O-00139) に倣い村名付き職として発行。村は TMP-L-00234（أبشيه الملق）。初版 #TMP-O-00000（零番号）を解消。	
熊倉	Office	المدير في الجيش | مدير الجيش	al-mudīr fī al-jaysh	TMP-O-00271	出現: D07320（「محمد بن جوهر المدير في الجيش」、836年アレッポ没）。軍の管理官。既登録 مدير ديوان（TMP-O-00017）とは対象が異なるため別行。初版 state ref=#NEEDID を解消。	
熊倉	Office	مباشر جدة | أحد مباشري جدة	mubāshir Jidda	TMP-O-00272	出現: D07374（「أحد مباشري جدة」）。ジッダの行政実務官。既存 مباشرة الاسطبل(O-00162)・مباشر سقاية العباس(O-00227) と同系列	
