#	分類	項目	ファイル	placeName	ref	要素	行	根拠・原文語句
0	A	AIND-D00001	AIND-D00001_932540579843.xml	مكة	gn:104515	event[type=residence n=1 cert=low]	8	قطنها (المكي قطنها)
1	A	AIND-D00001	AIND-D00001_932540579843.xml	مكة	gn:104515	event[type=other n=2]	9	زوج بها
2	C	AIND-D00008	AIND-D00008_591279423508.xml	القاهرة	gn:360630	birth[when-custom=0860 when=1455 cert=low]	9	القاهري المولد والدار（出生地の明示）
3	C	AIND-D00008	AIND-D00008_591279423508.xml	القاهرة	gn:360630	event[type=residence n=1]	16	القاهري المولد والدار（居住の明示）
4	B	AIND-D00008	AIND-D00008_591279423508.xml	مكة	gn:104515	event[type=religious subtype=hajj n=2 cert=low]	17	حج
5	A	AIND-D00016	AIND-D00016_953897975842.xml	بجاية	gn:2505329	state[n=1 type=office ref=wd:Q217029]	12	البجائي قاضيها
6	D	AIND-D00020	AIND-D00020_492541313064.xml	مكة	gn:104515	event[type=residence subtype=jāwara n=2 when-custom=0890 cert=medium]	10	جاور（規則20: 付けない）
7	E	AIND-D00031	AIND-D00031_579627647029.xml	الخليل	gn:285066	state[n=1 type=office ref=wd:Q217029]	21	بلده: الخليلي … ولى قضاء بلده（名詞＋所有代名詞で故地を指示）
8	E	AIND-D00039	AIND-D00039_950701916231.xml	تنس	#TMP-L-00138	state[n=1 type=office ref=#TMP-O-00037]	17	التونسي شيخ الكتبة في قطره（قطره で指示。さらに ref TMP-L-00138 تنس はニスバ التونسي＝تونس と不一致の疑い）
9	D	AIND-D00060	AIND-D00060_996411441289.xml	بعلبك	gn:172041	event[type=residence n=1]	55	ニスバ البعلي
10	D	AIND-D00094	AIND-D00094_913175478502.xml	طرابلس	gn:266826	birth[when-custom=0740 when=1339 cert=low]	11	ニスバ الطرابلسي الأصل（الأصل は出身家系で出生地の明示ではない）
11	A	AIND-D00129	AIND-D00129_199665647930.xml	مكة	gn:104515	event[type=learning when=0871]	15	هناك（先行詞 حج）: وحضر عندي هناك
12	B	AIND-D00129	AIND-D00129_199665647930.xml	مكة	gn:104515	event[type=religious subtype=hajj n=1 when-custom=0871 cert=high]	26	حج
13	A	AIND-D00129	AIND-D00129_199665647930.xml	مكة	gn:104515	event[type=study n=2 when-custom=0871 cert=high]	30	هناك（先行詞 حج）: وحضر عندي هناك
14	D	AIND-D00167	AIND-D00167_273267294605.xml	القاهرة	gn:360630	state[n=1 type=office ref=#TMP-O-00072]	17	ニスバ القاهري／施設 البيمارستان المنصوري の所在地
15	C	AIND-D00239	AIND-D00239_419778527772.xml	المعلاة	wd:Q42004	death[when-custom=0880-01 when=1475-05]	13	بمعلاتها（المعلاة＋代名詞）
16	C	AIND-D00241	AIND-D00241_408621679138.xml	الشام	#TMP-L-00002	state[n=1 type=office ref=#TMP-O-00014]	19	بائشام（بالشام の誤植）
