熊倉	Person	محمد بن إسماعيل المكي الحلواني العطار (يعرف بالحجازي)	Muḥammad b. Ismāʿīl al-Makkī al-Ḥalwānī al-ʿAṭṭār	TMP-P-000956	出現: D00256(父「والده العطار」)。al-Ḍawʾ に本伝なし。汚染ID TMP-P-000044(إسحاق بن يحيى الآمدي)の流用を解消	監査20260907 新規発行
熊倉	Person	محمد بن عبد الله بن محمد بن أحمد الرومي	Muḥammad b. ʿAbd Allāh b. Muḥammad b. Aḥmad al-Rūmī	TMP-P-000957	出現: D00909(兄「الآتي أخوه محمد」)。父=AIND-D04548(الجمال ابن الرومي)。候補 AIND-D07865(محمد بن عبد الله الصدر بن الجمال الرومي)は al-Sakhāwī 自身が「وصوابه ابن محمد بن أحمد」と訂正＝الصدر محمد(D04548の弟)のため別人。本伝未検出	監査20260907 新規発行
熊倉	Person	بلال (جد أحمد بن عبد الله بن محمد بن عبد الله بن بلال الوقاد)	Bilāl	TMP-P-000958	出現: D00911(祖先「وقد ينسب لجده بلال」)。メッカ・マスジドの وقاد 一族の祖。TMP-P-000044 流用を解消	監査20260907 新規発行
熊倉	Person	عبد الله بن محمد بن عبد الوهاب بن علي بن يوسف الأنصاري الزرندي المدني	ʿAbd Allāh b. Muḥammad b. ʿAbd al-Wahhāb al-Zarandī al-Madanī	TMP-P-000959	出現: D01390(兄弟「أخو سعد وسعيد وعبد الله ومحمد」)。兄弟 سعد=AIND-D03092, سعيد=AIND-D03106, محمد=AIND-D08897 は本伝あり、عبد الله のみ本伝未検出。TMP-P-000374〜377(別人)の流用を解消	監査20260907 新規発行
熊倉	Person	الفقيه يوسف المقري (رئيس زبيد)	al-Faqīh Yūsuf al-Muqrī (Zabīd)	TMP-P-000960	出現: D00311(師・上長「لقي باليمن في زبيد رئيسه الفقيه يوسف المقرى فقرأ عليه」)。AIND-D10482(يوسف بن عبد الله المقري، مصر)はエジプト在住で別人。TMP-P-000361(نظام)流用を解消	監査20260907 新規発行
熊倉	Person	الشيخ محمد بن أبي بكر المرشدي المكي	al-Shaykh Muḥammad b. Abī Bakr al-Murshidī al-Makkī	TMP-P-000961	出現: D00780(祖父)、D01130(祖父)、D05943(父)。本伝なし(子 عمر=AIND-D05943 あり)。TMP-P-000006 流用を解消	監査20260907 新規発行
熊倉	Person	إبراهيم (جد أحمد بن محمد الشكيلي المدني)	Ibrāhīm	TMP-P-000962	出現: D01628(祖父)。D01628 は corpus 未収録項。active="" の空参照を解消	監査20260907 新規発行
熊倉	Person	الجاي (اليوسفي)	al-Jāy al-Yūsufī	TMP-P-000963	出現: D00512(母方祖父「سبط الجاي」)、D00525(同)、D09673(ديوان الجاي)。アミール。Nisbah番号 TMP-N-00758 の人物流用を解消	監査20260907 新規発行
熊倉	Person	الصدر عبد الخالق بن علي بن الحسن بن الفرات	al-Ṣadr ʿAbd al-Khāliq b. ʿAlī b. al-Furāt	TMP-P-000964	出現: D00435(師「عبد الخالق علي بن الفرات」=إجازة)。子 أحمد=AIND-D00806(الشهاب بن الصدر بن النور)。本伝なし。TMP-P-000006 流用を解消	監査20260907 新規発行
熊倉	Person	إبراهيم بن محمد المراكشي الموحدي المدني	Ibrāhīm b. Muḥammad al-Marrākushī al-Muwaḥḥidī al-Madanī	TMP-P-000965	出現: D00240(祖父「حفيد الآتي قريبا فيما يظهر」)。本伝を一意特定できず。active="" の空参照を解消	監査20260907 新規発行
熊倉	Text	مشيخة صالح الأسنوي	Mashyakhat Ṣāliḥ al-Isnawī	TMP-T-00164	出現: D01664。幻番号 TMP-T-00079 を解消(同番号の المنهاج は TMP-T-00065 へ)	監査20260907 新規発行
熊倉	Text	منهاج الطريق (صدقة الركني العادلي)	Minhāj al-Ṭarīq	TMP-T-00165	出現: D01285(「سمع على صدقة الركني العادلي تصنيفه منهاج الطريق」)。幻番号 TMP-T-00031 を解消	監査20260907 新規発行
熊倉	Institution	الشامية البرانية	al-Shāmiyya al-Barrāniyya	TMP-I-00148	出現: D01415。ダマスクスのシャーフィイー派マドラサ。幻番号 TMP-I-00000 を解消	監査20260907 新規発行
